frame_number,cpu_time_ms,ppu_time_ms,ppu_oam_scan_time_ms,ppu_draw_pixels_time_ms,ppu_hblank_time_ms,ppu_vblank_time_ms,mmio_time_ms,lcd_time_ms,sdl_events_time_ms,debugger_time_ms,interrupt_time_ms,other_time_ms,total_frame_time_ms
109,2.2117,0.2641,1.3933,18.3192,2.5164,0.9790,0.2728,0.0000,0.0352,0.2487,0.2129,0.0000,26.4535
110,1.3680,0.2316,1.1777,15.3385,2.1448,0.8696,0.2460,0.0000,0.0155,0.2152,0.1924,0.0000,21.7995
111,1.6899,0.2686,1.4515,19.6162,2.6577,0.8621,0.2791,0.0000,0.0148,0.2544,0.2140,0.0000,27.3084
112,1.6509,0.2669,1.4397,19.4328,2.6324,0.7673,0.2823,0.0000,0.0204,0.2472,0.2201,0.0000,26.9601
113,1.3412,0.2380,1.1996,15.7284,2.1358,0.5839,0.2463,0.0000,0.0140,0.2224,0.2140,0.0000,21.9236
114,1.7682,0.2793,1.4793,20.0716,2.6724,1.0813,0.2862,0.0000,0.0164,0.2401,0.2133,0.0000,28.1084
115,1.6117,0.2576,1.4129,19.0685,2.6068,1.1280,0.2808,0.0000,0.0200,0.2545,0.2229,0.0000,26.8637
116,1.4777,0.2386,1.2396,17.1181,2.3266,0.7184,0.2452,0.0000,0.0103,0.2412,0.2069,0.0000,23.8228
117,1.2350,0.2457,1.1018,14.9249,2.0183,0.7174,0.2136,0.0000,0.0199,0.1913,0.1720,0.0000,20.8404
118,1.4624,0.2447,1.3617,17.1978,2.3424,0.7029,0.2547,0.0000,0.0109,0.2221,0.1936,0.0000,23.9935
119,1.2688,0.2203,1.1941,15.6906,2.0820,0.5490,0.2270,0.0000,0.0278,0.2062,0.2842,0.0000,21.7501
120,1.2755,0.1993,1.0245,13.1793,1.8186,0.5957,0.2051,0.0000,0.0342,0.1888,0.2065,0.0000,18.7276
121,1.6701,0.2564,1.4242,19.9064,2.6933,1.1847,0.2642,0.0000,0.0428,0.2249,0.1954,0.0000,27.8626
122,1.9373,0.2952,1.6669,23.0284,3.0407,1.0504,0.3135,0.0000,0.0818,0.2620,0.2286,0.0000,31.9051
123,1.7900,0.2898,1.5650,20.7665,2.8297,1.1699,0.3033,0.0000,0.0854,0.2635,0.2333,0.0000,29.2966
124,1.4216,0.2430,1.2036,16.0860,2.1987,0.8401,0.2555,0.0000,0.0278,0.2322,0.2072,0.0000,22.7159
125,1.4265,0.2397,1.2838,16.6351,2.3267,0.8208,0.2508,0.0000,0.0519,0.2294,0.2039,0.0000,23.4689
126,1.8081,0.2879,1.5774,21.0996,2.8531,0.8283,0.2944,0.0000,0.0359,0.2640,0.2253,0.0000,29.2740
127,1.7250,0.2789,1.4953,19.9932,2.7227,0.7641,0.2873,0.0000,0.0277,0.2594,0.2318,0.0000,27.7856
128,1.4403,0.2443,1.2785,16.8787,2.3718,0.9315,0.2555,0.0000,0.0641,0.2360,0.2050,0.0000,23.9059
129,1.7717,0.2847,1.5480,20.7697,2.8151,0.8561,0.2923,0.0000,0.0425,0.2627,0.2216,0.0000,28.8646
130,1.8024,0.2916,1.5731,21.2446,2.8640,0.8064,0.2954,0.0000,0.0370,0.2649,0.2250,0.0000,29.4046
131,1.4084,0.2383,1.1901,15.7028,2.1944,1.0235,0.2540,0.0000,0.1354,0.2261,0.2013,0.0000,22.5746
132,1.8190,0.2895,1.5801,21.1606,2.8688,0.8737,0.3074,0.0000,0.0391,0.2610,0.2291,0.0000,29.4285
